mapping,timezone
installation984,America/Chicago
installation985,America/Chicago
installation986,America/Los_Angeles
installation987,America/Chicago
installation988,America/Chicago
installation989,America/Chicago
installation990,America/Los_Angeles
installation991,America/Los_Angeles
installation992,America/Los_Angeles
installation993,America/Los_Angeles
installation994,America/Los_Angeles
installation995,America/Los_Angeles
installation996,America/Denver
installation997,America/Denver
installation998,America/Denver
installation999,America/Denver
installation1000,America/Denver
installation1001,America/Denver
installation1002,America/Denver
installation1003,America/Denver
installation1004,America/Denver
installation1005,America/Denver
installation1006,America/Denver
installation1007,America/Denver
installation1008,America/Denver
installation1009,America/Denver
installation1010,America/Denver
installation1011,America/Denver
installation1012,America/Denver
installation1013,America/Denver
installation1014,America/Denver
installation1015,America/Denver
installation1016,America/Denver
installation1017,America/Denver
installation1018,America/Denver
installation1019,America/Chicago
installation1020,America/Los_Angeles
installation1021,America/Los_Angeles
installation1022,America/Chicago
installation1023,America/Denver
installation1024,America/Los_Angeles
installation1025,America/Los_Angeles
installation1026,America/Denver
installation1027,America/Chicago
installation1028,America/Los_Angeles
installation1029,America/Chicago
installation1030,America/Denver
installation1031,America/Denver
installation1032,America/Los_Angeles
installation1033,America/Los_Angeles
installation1034,America/Los_Angeles
installation1035,America/Los_Angeles
installation1036,America/Chicago
installation1037,America/Chicago
installation1038,America/Chicago
installation1039,America/Los_Angeles
installation1040,America/Chicago
installation1041,America/Chicago
installation1042,America/Chicago
installation1043,America/Chicago
installation1044,America/Chicago
installation1045,America/Chicago
installation1046,America/Chicago
installation1047,America/Chicago
installation1048,America/Chicago
installation1049,America/Chicago
installation1050,America/Chicago
installation1051,America/Chicago
installation1052,America/Chicago
installation1053,America/Chicago
installation1054,America/Denver
installation1055,America/Denver
installation1056,America/Chicago
installation1057,America/Chicago
installation1058,America/Chicago
installation1059,America/Chicago
installation1060,America/Chicago
installation1061,America/Chicago
installation1062,America/Chicago
installation1063,America/Chicago
installation1064,America/Chicago
installation1065,America/Chicago
installation1066,America/Chicago
installation1067,America/Chicago
installation1068,America/Chicago
installation1069,America/Chicago
installation1070,America/Chicago
installation1071,America/Chicago
installation1072,America/Denver
installation1073,America/Chicago
installation1074,America/Chicago
installation1075,America/Chicago
installation1076,America/Chicago
installation1077,America/Chicago
installation1078,America/Los_Angeles
installation1079,America/Chicago
installation1080,America/Chicago
installation1081,America/Chicago
installation1082,America/Chicago
installation1083,America/Chicago
installation1084,America/Chicago
installation1085,America/Chicago
installation1086,America/Chicago
installation1087,America/Chicago
installation1088,America/Chicago
installation1089,America/Chicago
installation1090,America/Chicago
installation1091,America/Chicago
installation1092,America/Chicago
installation1093,America/Chicago
installation1094,America/Chicago
installation1095,America/Chicago
installation1096,America/Chicago
installation1097,America/Chicago
installation1098,America/Chicago
installation1099,America/Chicago
installation1100,America/Chicago
installation1101,America/Chicago
installation1102,America/Chicago
installation1103,America/Chicago
installation1104,America/Chicago
installation1105,America/Chicago
installation1106,America/Chicago
installation1107,America/Chicago
installation1108,America/Chicago
installation1109,America/Chicago
installation1110,America/Chicago
installation1111,America/Chicago
installation1112,America/Chicago
installation1113,America/Chicago
installation1114,America/Chicago
installation1115,America/Chicago
installation1116,America/Chicago
installation1117,America/Chicago
installation1118,America/Chicago
installation1119,America/Chicago
installation1120,America/Chicago
installation1121,America/Chicago
installation1122,America/Chicago
installation1123,America/Chicago
installation1124,America/Chicago
installation1125,America/Chicago
installation1126,America/Chicago
installation1127,America/Chicago
installation1128,America/Chicago
installation1129,America/Chicago
installation1130,America/Chicago
installation1131,America/Chicago
installation1132,America/Chicago
installation1133,America/Chicago
installation1134,America/Chicago
installation1135,America/Chicago
installation1136,America/Chicago
installation1137,America/Chicago
installation1138,America/Chicago
installation1139,America/Chicago
installation1140,America/Chicago
installation1141,America/Chicago
installation1142,America/Chicago
installation1143,America/Chicago
installation1144,America/Chicago
installation1145,America/Chicago
installation1146,America/Chicago
installation1147,America/Chicago
installation1148,America/Chicago
installation1149,America/Chicago
installation1150,America/Chicago
installation1151,America/Chicago
installation1152,America/Chicago
installation1153,America/Chicago
installation1154,America/Chicago
installation1155,America/Chicago
installation1156,America/Chicago
installation1157,America/Chicago
installation1158,America/Chicago
installation1159,America/Chicago
installation1160,America/Chicago
installation1161,America/Chicago
installation1162,America/Chicago
installation1163,America/Chicago
installation1164,America/Chicago
installation1165,America/Chicago
installation1166,America/Chicago
installation1167,America/Chicago
installation1168,America/Chicago
installation1169,America/Chicago
installation1170,America/Chicago
installation1171,America/Chicago
installation1172,America/Chicago
installation1173,America/Chicago
installation1174,America/Chicago
installation1175,America/Chicago
installation1176,America/Chicago
installation1177,America/Chicago
installation1178,America/Chicago
installation1179,America/Chicago
installation1180,America/Chicago
installation1181,America/Chicago
installation1182,America/Chicago
installation1183,America/Chicago
installation1184,America/Chicago
installation1185,America/Chicago
installation1186,America/Chicago
installation1187,America/Chicago
installation1188,America/Chicago
installation1189,America/Chicago
installation1190,America/Chicago
installation1191,America/Chicago
installation1192,America/Chicago
installation1193,America/Chicago
installation1194,America/Chicago
installation1195,America/Chicago
installation1196,America/Chicago
installation1197,America/Chicago
installation1198,America/Chicago
installation1199,America/Chicago
installation1200,America/Chicago
installation1201,America/Chicago
installation1202,America/Chicago
installation1203,America/Chicago
installation1204,America/Chicago
installation1205,America/Chicago
installation1206,America/Chicago
installation1207,America/Chicago
installation1208,America/Chicago
installation1209,America/Chicago
installation1210,America/Chicago
installation1211,America/Chicago
installation1212,America/Chicago
installation1213,America/Chicago
installation1214,America/New_York
installation1215,America/New_York
installation1216,America/Los_Angeles
installation1217,America/Los_Angeles
installation1218,America/Los_Angeles
installation1219,America/Los_Angeles
installation1220,America/Los_Angeles
installation1221,America/Los_Angeles
installation1222,America/Los_Angeles
installation1223,America/Los_Angeles
installation1224,America/Los_Angeles
installation1225,America/Los_Angeles
installation1226,America/Los_Angeles
installation1227,America/Los_Angeles
installation1228,America/Los_Angeles
installation1229,America/New_York
installation1230,America/Puerto_Rico
installation1231,America/New_York
installation1232,America/Los_Angeles
installation1233,America/Los_Angeles
installation1234,America/Los_Angeles
installation1235,America/New_York
installation1236,America/New_York
installation1237,America/New_York
installation1238,America/Los_Angeles
installation1239,America/New_York
installation1240,America/New_York
installation1241,America/New_York
installation1242,America/New_York
installation1243,America/New_York
installation1244,America/Los_Angeles
installation1245,America/Los_Angeles
installation1246,America/New_York
installation1247,America/New_York
installation1248,America/Los_Angeles
installation1249,America/Los_Angeles
installation1250,America/Los_Angeles
installation1251,America/Los_Angeles
installation1252,America/Los_Angeles
installation1253,America/New_York
installation1254,America/Los_Angeles
installation1255,America/New_York
installation1256,America/New_York
installation1257,America/New_York
installation1258,America/New_York
installation1259,America/Chicago
installation1260,America/Detroit
installation1261,America/Detroit
installation1262,America/Detroit
installation1263,America/Chicago
installation1264,America/Chicago
installation1265,America/New_York
installation1266,America/New_York
installation1267,America/New_York
installation1268,America/New_York
installation1269,America/New_York
installation1270,America/Chicago
installation1271,America/New_York
installation1272,America/New_York
installation1273,America/New_York
installation1274,America/New_York
installation1275,America/New_York
installation1276,America/New_York
installation1277,America/Chicago
installation1278,America/New_York
installation1279,America/New_York
installation1280,America/New_York
installation1281,America/New_York
installation1282,America/Los_Angeles
installation1283,America/Los_Angeles
installation1284,America/Chicago
installation1285,America/New_York
installation1286,America/Chicago
installation1287,America/Chicago
installation1288,America/New_York
installation1289,America/New_York
installation1290,America/New_York
installation1291,America/Chicago
installation1292,America/New_York
installation1293,America/Chicago
installation1294,America/Chicago
installation1295,America/Chicago
installation1296,America/Chicago
installation1297,America/New_York
installation1298,America/New_York
installation1299,America/Los_Angeles
installation1300,America/New_York
installation1301,America/New_York
installation1302,America/New_York
installation1303,America/New_York
installation1304,America/Chicago
installation1305,America/New_York
installation1306,America/New_York
installation1307,America/Los_Angeles
installation1308,America/New_York
installation1309,America/Los_Angeles
installation1310,America/Los_Angeles
installation1311,America/New_York
installation1312,America/Los_Angeles
installation1313,America/Los_Angeles
installation1314,America/New_York
installation1315,America/Chicago
installation1316,America/Los_Angeles
installation1317,America/Los_Angeles
installation1318,America/Los_Angeles
installation1319,America/Los_Angeles
installation1320,America/Los_Angeles
installation1321,America/Los_Angeles
installation1322,America/Los_Angeles
installation1323,America/Los_Angeles
installation1324,America/Los_Angeles
installation1325,America/New_York
installation1326,America/Los_Angeles
installation1327,America/Los_Angeles
installation1328,America/Los_Angeles
installation1329,America/Los_Angeles
installation1330,America/Los_Angeles
installation1331,America/New_York
installation1332,America/New_York
installation1333,America/Los_Angeles
installation1334,America/Chicago
installation1335,America/Los_Angeles
installation1336,America/Chicago
installation1337,America/Chicago
installation1338,America/Chicago
installation1339,America/Chicago
installation1340,America/Los_Angeles
installation1341,America/Los_Angeles
installation1342,America/Chicago
installation1343,America/New_York
installation1344,America/New_York
installation1345,America/Los_Angeles
installation1346,America/Chicago
installation1347,America/Chicago
installation1348,America/Chicago
installation1349,America/New_York
installation1350,America/New_York
installation1351,America/New_York
installation1352,America/Chicago
installation1353,America/Detroit
installation1354,America/Los_Angeles
installation1355,America/New_York
installation1356,America/New_York
installation1357,America/New_York
installation1358,America/New_York
installation1359,America/New_York
installation1360,America/Chicago
installation1361,America/New_York
installation1362,America/Detroit
installation1363,America/Detroit
installation1364,America/Detroit
installation1365,America/Puerto_Rico
installation1366,America/New_York
installation1367,America/New_York
installation1368,America/New_York
installation1369,America/New_York
installation1370,America/New_York
installation1371,America/New_York
installation1372,America/New_York
installation1373,America/New_York
installation1374,America/New_York
installation1375,America/New_York
installation1376,America/New_York
installation1377,America/New_York
installation1378,America/New_York
installation1379,America/Los_Angeles
installation1380,America/New_York
installation1381,America/New_York
installation1382,America/New_York
installation1383,
installation1384,America/Chicago
installation1385,America/New_York
installation1386,America/Chicago
installation1387,America/New_York
installation1388,America/Chicago
installation1389,America/Chicago
installation1390,America/New_York
installation1391,America/New_York
installation1392,America/Detroit
installation1393,America/New_York
installation1394,America/New_York
installation1395,
installation1396,America/New_York
installation1397,America/New_York
installation1398,America/New_York
installation1399,America/Chicago
installation1400,America/Chicago
installation1401,America/Chicago
installation1402,America/Chicago
installation1403,America/New_York
installation1404,America/Chicago
installation1405,America/New_York
installation1406,America/New_York
installation1407,America/New_York
installation1408,America/New_York
installation1409,America/New_York
installation1410,America/New_York
installation1411,America/New_York
installation1412,America/Los_Angeles
installation1413,America/Los_Angeles
installation1414,America/New_York
installation1415,America/New_York
installation1416,America/New_York
installation1417,America/Detroit
installation1418,America/New_York
installation1419,America/Chicago
installation1420,America/New_York
installation1421,America/New_York
installation1422,America/New_York
installation1423,America/New_York
installation1424,America/New_York
installation1425,America/New_York
installation1426,America/New_York
installation1427,America/Los_Angeles
installation1428,America/Detroit
installation1429,America/Puerto_Rico
installation1430,America/New_York
installation1431,America/New_York
installation1432,America/New_York
installation1433,America/Los_Angeles
installation1434,America/Detroit
installation1435,America/Los_Angeles
installation1436,America/Chicago
installation1437,America/Los_Angeles
installation1438,America/Chicago
installation1439,America/Chicago
installation1440,America/Chicago
installation1441,America/Chicago
installation1442,America/Denver
installation1443,America/Chicago
installation1444,America/Chicago
installation1445,America/Chicago
installation1446,America/Chicago
installation1447,America/Chicago
installation1448,America/Chicago
installation1449,America/Chicago
installation1450,America/Chicago
installation1451,America/Chicago
installation1452,America/Chicago
installation1453,America/Los_Angeles
installation1454,America/Los_Angeles
installation1455,America/Chicago
installation1456,America/Chicago
installation1457,America/Los_Angeles
installation1458,America/Chicago
installation1459,America/Chicago
installation1460,America/Chicago
installation1461,America/Chicago
installation1462,America/Los_Angeles
installation1463,America/Chicago
installation1464,America/Chicago
installation1465,America/Chicago
installation1466,America/Chicago
installation1467,America/Chicago
installation1468,America/Chicago
installation1469,America/Chicago
installation1470,America/Chicago
installation1471,America/Chicago
installation1472,America/Chicago
installation1473,America/Chicago
installation1474,America/Chicago
installation1475,America/Chicago
installation1476,America/Chicago
installation1477,America/Chicago
installation1478,America/Chicago
installation1479,America/Chicago
installation1480,America/Chicago
installation1481,America/Chicago
installation1482,America/Chicago
installation1483,America/Chicago
installation1484,America/Chicago
installation1485,America/Chicago
installation1486,America/Chicago
installation1487,America/Chicago
installation1488,America/Chicago
installation1489,America/Chicago
installation1490,America/Chicago
installation1491,America/Chicago
installation1492,America/Chicago
installation1493,America/Puerto_Rico
installation1494,America/Puerto_Rico
installation1495,America/Puerto_Rico
installation1496,America/Chicago
installation1497,America/Chicago
installation1498,America/Chicago
installation1499,America/Chicago
installation1500,America/Chicago
installation1501,America/Chicago
installation1502,America/Denver
installation1503,America/Denver
installation1504,America/Chicago
installation1505,America/Denver
installation1506,America/Denver
installation1507,America/Denver
installation1508,America/Chicago
installation1509,America/Chicago
installation1510,America/Chicago
installation1511,America/Chicago
installation1512,America/Chicago
installation1513,America/Chicago
installation1514,America/Chicago
installation1515,America/Chicago
installation1516,America/Chicago
installation1517,America/Chicago
installation1518,America/Detroit
installation1519,America/Detroit
installation1520,America/Detroit
installation1521,America/Detroit
installation1522,America/Detroit
installation1523,America/Detroit
installation1524,America/Detroit
installation1525,America/Detroit
installation1526,America/Detroit
installation1527,America/Chicago
installation1528,America/Detroit
installation1529,America/Detroit
installation1530,America/Chicago
installation1531,America/Chicago
installation1532,America/Chicago
installation1533,America/Chicago
installation1534,America/Chicago
installation1535,America/Chicago
installation1536,America/Chicago
installation1537,America/Chicago
installation1538,America/Chicago
installation1539,America/Chicago
installation1540,America/Detroit
installation1541,America/Chicago
installation1542,America/Detroit
installation1543,America/Chicago
installation1544,America/Detroit
installation1545,America/Chicago
installation1546,America/Chicago
installation1547,America/Chicago
installation1548,America/Detroit
installation1549,America/Detroit
installation1550,America/Chicago
installation1551,America/Chicago
installation1552,America/Detroit
installation1553,America/Chicago
installation1554,America/Detroit
installation1555,America/Chicago
installation1556,America/Chicago
installation1557,America/Chicago
installation1558,America/Chicago
installation1559,America/Detroit
installation1560,America/Detroit
installation1561,America/Detroit
installation1562,America/Chicago
installation1563,America/Chicago
installation1564,America/Chicago
installation1565,America/Chicago
installation1566,America/Chicago
installation1567,America/Chicago
installation1568,America/Chicago
installation1569,America/Detroit
installation1570,America/Detroit
installation1571,America/Detroit
installation1572,America/Detroit
installation1573,America/Chicago
installation1574,America/Chicago
installation1575,America/Chicago
installation1576,America/Chicago
installation1577,America/Chicago
installation1578,America/Chicago
installation1579,America/New_York
installation1580,America/Detroit
installation1581,America/Detroit
installation1582,America/Detroit
installation1583,America/Detroit
installation1584,America/Detroit
installation1585,America/Detroit
installation1586,America/Detroit
installation1587,America/Puerto_Rico
installation1588,America/Detroit
installation1589,America/Chicago
installation1590,America/Chicago
installation1591,America/Chicago
installation1592,America/Chicago
installation1593,America/Chicago
installation1594,America/Chicago
installation1595,America/Chicago
installation1596,America/Chicago
installation1597,America/Chicago
installation1598,America/Chicago
installation1599,America/Chicago
installation1600,America/Chicago
installation1601,America/Chicago
installation1602,America/Chicago
installation1603,America/Chicago
installation1604,America/Chicago
installation1605,America/Chicago
installation1606,America/Chicago
installation1607,America/Chicago
installation1608,America/Chicago
installation1609,America/Chicago
installation1610,America/Chicago
installation1611,America/Chicago
installation1612,America/Chicago
installation1613,America/Chicago
installation1614,America/Chicago
installation1615,America/Chicago
installation1616,America/Chicago
installation1617,America/Chicago
installation1618,America/Chicago
installation1619,America/Chicago
installation1620,America/Chicago
installation1621,America/Chicago
installation1622,America/Chicago
installation1623,America/Chicago
installation1624,America/Chicago
installation1625,America/Chicago
installation1626,America/Chicago
installation1627,America/Chicago
installation1628,America/Chicago
installation1629,America/Chicago
installation1630,America/Chicago
installation1631,America/Chicago
installation1632,America/Chicago
installation1633,America/Chicago
installation1634,America/Chicago
installation1635,America/Chicago
installation1636,America/Chicago
installation1637,America/Chicago
installation1638,America/Chicago
installation1639,America/Chicago
installation1640,America/Chicago
installation1641,America/Chicago
installation1642,America/Chicago
installation1643,America/Chicago
installation1644,America/New_York
installation1645,America/Chicago
installation1646,America/Chicago
installation1647,America/Chicago
installation1648,America/Chicago
installation1649,America/Chicago
installation1650,America/Chicago
installation1651,America/Chicago
installation1652,America/Chicago
installation1653,America/Chicago
installation1654,America/Chicago
installation1655,America/Chicago
installation1656,America/Chicago
installation1657,America/Chicago
installation1658,America/Chicago
installation1659,America/Chicago
installation1660,America/Chicago
installation1661,America/Chicago
installation1662,America/Chicago
installation1663,America/Chicago
installation1664,America/Chicago
installation1665,America/Los_Angeles
installation1666,America/Chicago
installation1667,America/Chicago
installation1668,America/Chicago
installation1669,America/Chicago
installation1670,America/Chicago
installation1671,America/Chicago
installation1672,America/Chicago
installation1673,America/Chicago
installation1674,America/Chicago
installation1675,America/Chicago
installation1676,America/Chicago
installation1677,America/Chicago
installation1678,America/Chicago
installation1679,America/Chicago
installation1680,America/Chicago
installation1681,America/Chicago
installation1682,America/Chicago
installation1683,America/Chicago
installation1684,America/Chicago
installation1685,America/Chicago
installation1686,America/Chicago
installation1687,America/Chicago
installation1688,America/Chicago
installation1689,America/Chicago
installation1690,America/Chicago
installation1691,America/Chicago
installation1692,America/Chicago
installation1693,America/Chicago
installation1694,America/Chicago
installation1695,America/Chicago
installation1696,America/Chicago
installation1697,America/Chicago
installation1698,America/Chicago
installation1699,America/Chicago
installation1700,America/Chicago
installation1701,America/Chicago
installation1702,America/Chicago
installation1703,America/Chicago
installation1704,America/Chicago
installation1705,America/Chicago
installation1706,America/Chicago
installation1707,America/Chicago
installation1708,America/Chicago
installation1709,America/Chicago
installation1710,America/Chicago
installation1711,America/Chicago
installation1712,America/Chicago
installation1713,America/Chicago
installation1714,America/Chicago
installation1715,America/Chicago
installation1716,America/Chicago
installation1717,America/Chicago
installation1718,America/Chicago
installation1719,America/Chicago
installation1720,America/Chicago
installation1721,America/Chicago
installation1722,America/Chicago
installation1723,America/Chicago
installation1724,America/Chicago
installation1725,America/Chicago
installation1726,America/Chicago
installation1727,America/Chicago
installation1728,America/Chicago
installation1729,America/Chicago
installation1730,America/Chicago
installation1731,America/Chicago
installation1732,America/Chicago
installation1733,America/Chicago
installation1734,America/Chicago
installation1735,America/Chicago
installation1736,America/Chicago
installation1737,America/Chicago
installation1738,America/Chicago
installation1739,America/Denver
installation1740,America/Chicago
installation1741,America/Chicago
installation1742,America/Chicago
installation1743,America/Los_Angeles
installation1744,America/Chicago
installation1745,America/Chicago
installation1746,America/Chicago
installation1747,America/Chicago
installation1748,America/Chicago
installation1749,America/Chicago
installation1750,America/Chicago
installation1751,America/Chicago
installation1752,America/Chicago
installation1753,America/Chicago
installation1754,America/Chicago
installation1755,America/Chicago
installation1756,America/Chicago
installation1757,America/Chicago
installation1758,America/Chicago
installation1759,America/Chicago
installation1760,America/Chicago
installation1761,America/Chicago
installation1762,America/Chicago
installation1763,America/Los_Angeles
installation1764,America/Chicago
installation1765,America/Chicago
installation1766,America/Chicago
installation1767,America/Chicago
installation1768,America/New_York
installation1769,America/Chicago
installation1770,America/Chicago
installation1771,America/Chicago
installation1772,America/Chicago
installation1773,America/Puerto_Rico
installation1774,America/Puerto_Rico
installation1775,America/Chicago
installation1776,America/Puerto_Rico
installation1777,America/New_York
installation1778,America/New_York
installation1779,America/New_York
installation1780,America/New_York
installation1781,America/New_York
installation1782,America/New_York
installation1783,America/Detroit
installation1784,America/New_York
installation1785,America/Detroit
installation1786,America/Detroit
installation1787,America/Detroit
installation1788,America/Detroit
installation1789,America/Detroit
installation1790,America/New_York
installation1791,America/Chicago
installation1792,America/New_York
installation1793,America/New_York
installation1794,America/New_York
installation1795,America/Chicago
installation1796,America/Puerto_Rico
installation1797,America/Detroit
installation1798,America/Detroit
installation1799,America/Detroit
installation1800,America/Detroit
installation1801,America/Detroit
installation1802,America/Detroit
installation1803,America/Detroit
installation1804,America/Detroit
installation1805,America/New_York
installation1806,America/Detroit
installation1807,America/New_York
installation1808,America/Chicago
installation1809,America/New_York
installation1810,America/Chicago
installation1811,America/New_York
installation1812,America/Detroit
installation1813,America/Chicago
installation1814,America/New_York
installation1815,America/Chicago
installation1816,America/Chicago
installation1817,America/Chicago
installation1818,America/New_York
installation1819,America/Chicago
installation1820,America/Chicago
installation1821,America/Chicago
installation1822,America/Chicago
installation1823,America/New_York
installation1824,America/New_York
installation1825,America/New_York
installation1826,America/Chicago
installation1827,America/Detroit
installation1828,America/Detroit
installation1829,America/Chicago
installation1830,America/Chicago
installation1831,America/New_York
installation1832,America/Chicago
installation1833,America/Los_Angeles
installation1834,America/Chicago
installation1835,America/Chicago
installation1836,America/Chicago
installation1837,America/Chicago
installation1838,America/Los_Angeles
installation1839,America/Chicago
installation1840,America/Chicago
installation1841,America/Chicago
installation1842,America/Chicago
installation1843,America/Chicago
installation1844,America/Chicago
installation1845,America/Chicago
installation1846,America/Chicago
installation1847,America/Chicago
installation1848,America/Chicago
installation1849,America/Chicago
installation1850,America/Chicago
installation1851,America/Chicago
installation1852,America/Chicago
installation1853,America/Chicago
installation1854,America/Chicago
installation1855,America/Chicago
installation1856,America/Chicago
installation1857,America/Chicago
installation1858,America/Chicago
installation1859,America/Chicago
installation1860,America/Chicago
installation1861,America/Chicago
installation1862,America/Chicago
installation1863,America/Chicago
installation1864,America/Chicago
installation1865,America/Chicago
installation1866,America/Puerto_Rico
installation1867,America/Chicago
installation1868,America/Chicago
installation1869,America/Detroit
installation1870,America/New_York
installation1871,America/New_York
installation1872,America/Puerto_Rico
installation1873,America/Los_Angeles
installation1874,America/Detroit
installation1875,America/Chicago
installation1876,America/Detroit
installation1877,America/Puerto_Rico
installation1878,America/Chicago
installation1879,America/Chicago
installation1880,America/Chicago
installation1881,America/Chicago
installation1882,America/Chicago
installation1883,America/Puerto_Rico
installation1884,America/Chicago
installation1885,America/Puerto_Rico
installation1886,America/Detroit
installation1887,America/Puerto_Rico
installation1888,America/Puerto_Rico
installation1889,America/Puerto_Rico
installation1890,America/Puerto_Rico
installation1891,America/Puerto_Rico
installation1892,America/Puerto_Rico
installation1893,America/Puerto_Rico
installation1894,America/Puerto_Rico
installation1895,America/Puerto_Rico
installation1896,America/Puerto_Rico
installation1897,America/Puerto_Rico
installation1898,America/Puerto_Rico
installation1899,America/Puerto_Rico
installation1900,America/Puerto_Rico
installation1901,America/Puerto_Rico
installation1902,America/Chicago
installation1903,America/Puerto_Rico
installation1904,America/Puerto_Rico
installation1905,America/Chicago
installation1906,America/Puerto_Rico
installation1907,America/Chicago
installation1908,America/Puerto_Rico
installation1909,America/Chicago
installation1910,America/Chicago
installation1911,America/Chicago
installation1912,America/Chicago
installation1913,America/Chicago
installation1914,America/Chicago
installation1915,America/Puerto_Rico
installation1916,America/Chicago
installation1917,America/Puerto_Rico
installation1918,America/Chicago
installation1919,America/Puerto_Rico
installation1920,America/Puerto_Rico
installation1921,America/Detroit
installation1922,America/Detroit
installation1923,America/Chicago
installation1924,America/Chicago
installation1925,America/Chicago
